Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t08.csv,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated new court commitments to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program, Survey of Inmates in State Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated new court commitments to state prison, by race, Hispanic origin, and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991/a,,,,,2001/b,,,,,,,2006/b,,,,,,,2011/b,,,,,
,Burglary,17.7,,11.4,,,13.1,,9,,8.3,,,11.9,,8.8,,9.1,,,13.9,,12.3,,10.5,
,Larceny,9.6,,7,,,7.6,,6.7,,4,,,7.6,,5.9,,4.2,,,7.4,,5.2,,4,
,Motor vehicle theft,3.1,,2.1,,,2.3,,1.8,,3.1,,,2.6,,1.4,,4.5,,,1.9,,1,,2.3,
,Fraud,6,,3.1,,,6.5,,4.3,,1.7,,,6.9,,4.2,,2.4,,,5.2,,3.6,,2,
,Other property,4.4,,2.7,,,4.5,,2.5,,2.8,,,4.4,,2.3,,2.6,,,5.1,,2.5,,2.3,
Drug,,19.3,%,38.5,%,,23.1,%,36.8,%,36.4,%,,23.8,%,35,%,29.5,%,,23.1,%,24.3,%,25.5,%
,Possession,5.3,,11.2,,,8.5,,10.6,,8.1,,,9.4,,11.3,,10.9,,,8.2,,7.4,,9.5,
,Other drug/e,14,,27.3,,,14.6,,26.2,,28.2,,,14.4,,23.7,,18.6,,,15,,16.9,,16,
Public order/f,,11.4,%,5.4,%,,15.1,%,10.2,%,9.7,%,,19,%,13.4,%,15.5,%,,18,%,16.7,%,17.6,%
Other/unspecified/g,,1.8,%,1,%,,0.6,%,0.3,%,0.7,%,,0.7,%,0.4,%,0.4,%,,1.1,%,0.7,%,0.4,%
,Number of new court commitments,"149,488",,"146,833",,,"133,442",,"143,775",,"63,992",,,"162,084",,"173,614",,"77,274",,,"146,054",,"156,661",,"69,728",
"Note: Based on prisoners with a sentence of more than 1 year admitted to state prison on a new court commitment. Detail may not sum to total due to rounding, missing offense data, and racial categories not shown. Admission totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,,,,,,,,,,,,,,,,,,
a/Race and Hispanic origin data are weighted to represent the race/ethnicity distribution from the 1991 Survey of Inmates in State Correctional Facilities. See Methodology. The U.S. Office of Management and Budget published guidelines on the collection and reporting of Hispanic origin in 1997 (http://www.whitehouse.gov/omb/fedreg_1997standards/) and few states collected ethnicity data in 1991. Persons of Hispanic or Latino origin are included in the White and Black categories.,,,,,,,,,,,,,,,,,,,,,,,,,,
b/Race and Hispanic origin data are weighted to represent the race/ethnicity distribution from the 2004 Survey of Inmates in State Correctional Facilities. See Methodology.,,,,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,,,,,,,
e/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,,,,,,,
"f/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,
g/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011; and Survey of Inmates in State Correctional Facilities, 1991 and 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,
